"Title","ID","Created Date","Updated Date","Owner","Image","Description","Brands (Item)","Catalog","Button Text"
"Wieland Fiyat Listesi","1534a6b3-ca5b-4c62-b0c5-08d3ae8eeac5",2024-07-04T16:47:43Z,2024-07-06T05:31:14Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_376312a2490044cebca6208b10db4b46~mv2.png/resim1669407236.png#originWidth=870&originHeight=570",,"/brands-1/wieland-fiyat-listesi","wix:document://v1/ugd/c691b9_a89ed0877e004ac6be9383701201c4aa.xlsx/Wieland%202024%20Ocak%20Fiyat%20Listesi.xlsx","Wieland 2024 Ocak Fiyat Listesi"
"Kraus & Naimer Fiyat Listesi","1bd6b57d-09a0-49de-bbbe-2c3ff363064d",2024-07-04T16:47:08Z,2024-07-06T05:30:12Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_8f807b71593541e6884d7d884a1737d8~mv2.png/resim1668694500.png#originWidth=870&originHeight=570",,"/brands-1/kraus-%26-naimer-fiyat-listesi","wix:document://v1/ugd/c691b9_bdd0772c789d4b9bbcd59dca149b5559.xlsx/Kraus%20Naimer%202024%20Nisan%20Fiyat%20Listesi.xlsx","Kraus Naimer 2024 Nisan Fiyat Listesi"
"ABB Fiyat Listesi","1d3b85df-04f7-45e8-9e15-8d88b1e4185c",2024-07-04T16:47:32Z,2024-07-06T05:31:56Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_68b9af473c7b4a40af109f1ff2bba56f~mv2.png/resim1669406240.png#originWidth=870&originHeight=570",,"/brands-1/abb-fiyat-listesi","wix:document://v1/ugd/c691b9_ba0dcf07dbc34ce4b80a0728b036d0c9.xlsx/2023%20Kas%C4%B1m%20Tesisat%20Fiyat%20Listesi.xlsx","2023 Kasım Tesisat Fiyat Listesi"
"Siemens Fiyat Listesi","1e20476c-5706-496a-bb1f-cd2fc1e73c55",2024-07-04T16:47:02Z,2024-07-06T05:30:34Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_5019042e404b4a32a502fc939d91f5d6~mv2.png/resim1669365137.png#originWidth=870&originHeight=570",,"/brands-1/siemens-fiyat-listesi","wix:document://v1/ugd/c691b9_af17686c553045549dee933576dc1966.xlsx/Siemens%202023%20Ekim%20Fiyat%20Listesi.xlsx","Siemens 2023 Ekim Fiyat Listesi"
"Gewiss Fiyat Listesi","1e5d7245-a62e-4083-8f19-081279283a68",2024-07-04T16:46:18Z,2024-07-06T05:30:26Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_fa09475300fe4a32ba340a56afb121e9~mv2.png/resim1668684312.png#originWidth=870&originHeight=570",,"/brands-1/gewiss-fiyat-listesi","wix:document://v1/ugd/c691b9_095608d384154aa38a183fec921c9737.xlsx/Gewiss%202024%20Fiyat%20Listesi.xlsx","Gewiss 2024 Fiyat Listesi"
"Weidmüller Fiyat Listesi","20f13169-1e2f-4bec-a218-66769dc73193",2024-07-04T16:47:29Z,2024-07-06T05:31:01Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_046f0bc47ab74807a897f1fa530fe5ef~mv2.png/resim1669405414.png#originWidth=870&originHeight=570",,"/brands-1/weidm%C3%BCller-fiyat-listesi","wix:document://v1/ugd/c691b9_4d52b5b522ca42d9b4c29fd1de2ea13b.xlsx/Weidm%C3%BCller%202023%20Kas%C4%B1m%20Fiyat%20Listesi.xlsx","Weidmüller 2023 Kasım Fiyat Listesi"
"IFM Ürünleri","3fad8451-40b3-42a6-a04a-d492d1626c79",2024-07-04T16:47:54Z,2024-07-06T05:32:33Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_0de7c27e1c594fa8b616eef36bd32dfb~mv2.png/resim1669406399.png#originWidth=870&originHeight=570",,"/brands-1/ifm-%C3%BCr%C3%BCnleri",,"Fiyat Listesi Bulunamadı"
"Phoenix Contact Fiyat Listesi","446cd6c9-0c45-423e-9aa9-64480cca1e0d",2024-07-04T16:47:49Z,2024-07-04T17:08:25Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_357695ffa27143489cf1dfe7c63f6fae~mv2.png/resim1669361487.png#originWidth=870&originHeight=570",,"/brands-1/phoenix-contact-fiyat-listesi","wix:document://v1/ugd/c691b9_6473b2b4b96446169c0f44d7578d5017.xlsx/Phoenix%20Contact%202024%20Fiyat%20Listesi.xlsx","Phoenix Contact 2024 Fiyat Listesi.xlsx"
"Finder Fiyat Listesi","46166f0e-e563-4cd9-8499-15a66ed16f85",2024-07-04T16:47:39Z,2024-07-06T05:31:06Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_afdb19d6b4e444068180da1e0f7ac099~mv2.png/resim1669406631.png#originWidth=870&originHeight=570",,"/brands-1/finder-fiyat-listesi","wix:document://v1/ugd/c691b9_30a2a952ae5d46b882e117bc615120cf.xlsx/Finder%202024%20Fiyat%20Listesi.xlsx","Finder 2024 Fiyat Listesi"
"Brady Fiyat Listesi","70b4e92e-cb6a-44b3-b204-ca4a876ac0ea",2024-07-04T16:47:19Z,2024-07-06T05:30:41Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_630415a67b2c4cc8a1410f8caf90ed6e~mv2.png/resim1668674326.png#originWidth=870&originHeight=570",,"/brands-1/brady-fiyat-listesi","wix:document://v1/ugd/c691b9_832d4a203a0f4edeb89da76a8aac5fbc.xlsx/BRADY%20Ekim%202023%20Fiyat%20Listesi.xlsx","BRADY Ekim 2023 Fiyat Listesi"
"Parker Meggitt Ürünleri","86bf8fd3-f727-4b47-a796-e5ad3a339878",2024-07-04T16:49:54Z,2024-07-06T05:32:32Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_ffcb3549d3704c5ea21830133af313f6~mv2.png/resim1669406398.png#originWidth=870&originHeight=570",,"/brands-1/parker-meggitt-%C3%BCr%C3%BCnleri",,"Fiyat Listesi Bulunamadı"
"Danfoss Fiyat Listesi","a152c2b7-1120-403c-9427-3b042c0b3124",2024-07-04T16:47:35Z,2024-07-06T05:31:52Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_8c47d7f4b7e24ed9b47c3ea8b0784340~mv2.png/resim1669407182.png#originWidth=870&originHeight=570",,"/brands-1/danfoss-fiyat-listesi",,"Fiyat Listesi Bulunamadı"
"Eaton Fiyat Listesi","acb1d033-f7e6-40e2-9e1a-67deeec952b6",2024-07-04T16:47:46Z,2024-07-06T05:32:27Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_2726ec94834c40abaa3c3b41f294128c~mv2.png/resim1669406361.png#originWidth=870&originHeight=570",,"/brands-1/eaton-fiyat-listesi","wix:document://v1/ugd/c691b9_7da41eefd6e64899af811f12b9382e1a.xlsx/2022%20Aral%C4%B1k%20Otomasyon%20Fiyat%20Listesi.xlsx","2022 Aralık Otomasyon Fiyat Listesi"
"SICK","c6ef5efe-432d-4d74-bb49-1dd7786444ba",2024-07-06T10:48:16Z,2024-07-06T10:58:39Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_fc65c52ab1d942b5802f550ef7a05902~mv2.png/resim1669406397.png#originWidth=870&originHeight=570",,"/brands-1/sick",,"Fiyat Listesi Bulunamadı"
