"Title","ID","Created Date","Updated Date","Owner","Code"
"IFM E43207","00e98080-9145-4fc4-9bb7-7e55eba42ca1",2024-07-04T15:50:12Z,2024-07-04T15:51:15Z,"8901a580-8b7d-4cf0-9262-299d87e21186","E43207"
"IFM IF 5597","0175ae25-873c-4b4e-b282-be91d81327bd",2024-07-04T15:51:35Z,2024-07-04T15:51:52Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IF 5597"
"IFM EBC 114","029d1229-fba1-4b66-a224-511645003c20",2024-07-04T15:50:13Z,2024-07-04T15:51:19Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EBC 114"
"OMRON E2E-X5Y1-M1","0359b45b-38a3-4fb4-8b60-4ac2f465ebef",2024-07-04T16:01:46Z,2024-07-04T16:02:02Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E2E-X5Y1-M1"
"KLASCHKA HAD-11ms60b1-5Sd1","056b8fcc-4d4c-4bad-a457-ce3ade2fec0c",2024-07-04T15:54:00Z,2024-07-04T15:54:34Z,"8901a580-8b7d-4cf0-9262-299d87e21186","HAD-11ms60b1-5Sd1 132666"
"OP-51428","06a799ef-871a-431d-b313-c9bc27a53f42",2024-07-04T16:02:59Z,2024-07-04T16:03:28Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OP-51428"
"NÖDİNG P121-4A8-F3K","07669b8c-6041-454b-b06f-b765d17472ff",2024-07-04T15:59:49Z,2024-07-04T16:00:22Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P121-4A8-F3K"
"ELTRA EH80C2048Z5/28L14X3MR.197+454","07dd489d-d6d0-4860-a4cd-13a3e6166551",2024-07-04T15:46:10Z,2024-07-04T15:46:45Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA EH80C2048Z5/28L14X3MR.197+454"
"LEUZE ISS 108MM/4NO-2E0","08d49421-b12e-465a-8f19-9f0f5dcc4ada",2024-07-04T15:58:29Z,2024-07-04T15:58:38Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50134732 LEUZE ISS 108MM/4NO-2E0"
"EUCHNER GSBF08D12-502-M","0972e676-10d8-46b3-acd4-c44a10933290",2024-07-04T15:48:02Z,2024-07-04T15:48:52Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 085918 EUCHNER GSBF08D12-502-M"
"BAUMER EIL 580-TT14.5RE.04096.A","0cb8e556-be05-451c-9e02-fb38097761f5",2024-07-04T15:45:27Z,2024-07-04T15:45:33Z,"8901a580-8b7d-4cf0-9262-299d87e21186","11120931"
"OMRON E2B-M18KN16-M1-B1","0dc91c8b-eeab-4731-b015-70a5121e1bd9",2024-07-04T16:01:27Z,2024-07-04T16:01:45Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E2B-M18KN16-M1-B1"
"PANASONIC CN-73-C2","0e0c1e4d-cf0d-4377-bbad-3f03c396c6c4",2024-07-04T16:03:28Z,2024-07-04T16:03:39Z,"8901a580-8b7d-4cf0-9262-299d87e21186","CN-73-C2"
"PANASONIC CY-192A-P-Z-Y","0ff5f475-efaa-43c4-816f-b51c48698c83",2024-07-04T16:04:02Z,2024-07-04T16:04:21Z,"8901a580-8b7d-4cf0-9262-299d87e21186","CY-192A-P-Z-Y"
"LEUZE PRK 18/24 DL.46","10106f54-0dd0-494f-958c-1a1de813cba7",2024-07-04T15:59:01Z,2024-07-04T15:59:21Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50032798 LEUZE PRK 18/24 DL.46"
"BALLUF BES01M8","1170cb4c-de18-4fdb-bbd0-e47e798561f6",2024-07-04T15:44:04Z,2024-07-04T15:44:14Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BES 516-384-EO-C-03"
"KLASCHKA IAD-12eg60b2-12S2A","1198dffa-08a7-4717-acc9-4664119a9688",2024-07-04T15:56:58Z,2024-07-04T15:57:12Z,"8901a580-8b7d-4cf0-9262-299d87e21186"," IAD-12eg60b2-12S2A 112489"
"IFM IE5287","13364f56-ed36-4924-9ae6-2d467d56e77d",2024-07-04T15:50:18Z,2024-07-04T15:51:47Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IE5287"
"IFM IN5379","14b6cf97-759b-4195-9638-9fb5234d4fa3",2024-07-04T15:51:41Z,2024-07-04T15:52:31Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IN5379"
"BALLUF BES024F","15bb15e8-3729-4b57-9522-8dd8e585f011",2024-07-04T15:44:05Z,2024-07-04T15:44:21Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BES 517-224-M5-E"
"EUCHNER ES777","16dbb202-be26-4157-8251-491c5848bdf0",2024-07-04T15:48:00Z,2024-07-04T15:48:22Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 008401 EUCHNER ES777 "
"IFM IS5003","18edaf15-8ada-4363-b0e0-e219068da101",2024-07-04T15:51:42Z,2024-07-04T15:52:35Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IS5003"
"BALLUF BMF0072","19313d9f-78ec-49b1-bdd2-215b37243a57",2024-07-04T15:44:47Z,2024-07-04T15:45:24Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BMF 307K-PS-C-2-SA2-S49-00,3"
"ASCON TLK43 LVR","1b3bedbc-9a01-4e2f-bcd7-b0ad91625f28",2024-07-04T15:42:55Z,2024-07-04T15:43:01Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ASCON TLK43 LVR"
"EUCHNER RGBF04D16-502-M","1b85f95a-fbdc-462b-8017-be9a415eea5c",2024-07-04T15:48:03Z,2024-07-04T15:48:57Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 088377 EUCHNER RGBF04D16-502-M "
"OMRON E3Z-R81","1cac357c-7736-4ced-8d6d-6d71154d0411",2024-07-04T16:02:12Z,2024-07-04T16:02:29Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E3Z-R81"
"EUCHNER BETAETIGUNGSKOPF TP","1e31b1bb-84d4-4053-a602-98ea5d281cae",2024-07-04T15:47:05Z,2024-07-04T15:47:33Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 078768 EUCHNER BETAETIGUNGSKOPF TP"
"BALLUF BES02M9","1fe0283b-bb92-42da-a3e0-90a70d340370",2024-07-04T15:44:07Z,2024-07-04T15:44:40Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BES 113-356-SA6-PU-03"
"IFM IL5012","20b5eb6e-d3a9-405a-8abd-da17591375e8",2024-07-04T15:50:06Z,2024-07-04T15:50:32Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IL5012"
"AECO FT13-CF NPN","21dbd24e-6299-4d89-a2a2-a03fb0314a0b",2024-07-04T15:39:41Z,2024-07-04T15:39:47Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO FTQ000099"
"IFM OJ5058","22466ca3-77fe-47eb-9875-b2d75addef6d",2024-07-04T15:52:41Z,2024-07-04T15:53:21Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OJ5058"
"NÖDİNG P131-4A8-V35","22bc98f4-4e8e-4ad5-b5ef-3311a09803f6",2024-07-04T16:00:39Z,2024-07-04T16:00:49Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P131-4A8-V35"
"ELTRA ER40A1000S5/28PB6X6PR.249","234debf2-d619-4467-a3d6-8e4d6462141f",2024-07-04T15:47:03Z,2024-07-04T15:47:21Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA ER40A1000S5/28PB6X6PR.249"
"IFM EVC151","25ef54dc-4a1b-4388-a5ff-5fcb7fdf1fe6",2024-07-04T15:50:15Z,2024-07-04T15:51:29Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EVC151"
"LEUZE HRTR 25B/66","261dc935-3f9f-4b78-a3e7-5a6ab4c2916f",2024-07-04T15:57:30Z,2024-07-04T15:57:51Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50115150 LEUZE HRTR 25B/66"
"SMC D-M9B","26abfb8c-0217-4ada-a42a-4892e0de8168",2024-07-04T16:05:55Z,2024-07-04T16:06:04Z,"8901a580-8b7d-4cf0-9262-299d87e21186","SMC D-M9B"
"AECO FT08M-CBE LC5.5","28944349-776f-4f3b-8c6e-eed2edc05de9",2024-07-04T15:39:32Z,2024-07-04T15:39:41Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO FT1000421"
"OMRON E2B-M18KS08-WP-B1","2c9b460e-3660-4b17-a802-aeab539e53a5",2024-07-04T16:01:46Z,2024-07-04T16:01:58Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E2B-M18KS08-WP-B1"
"LR-ZB250CP","2da46cbe-29fb-4a6a-8139-2fd4926d1b02",2024-07-04T15:59:04Z,2024-07-04T15:59:37Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LR-ZB250CP"
"FU-67V","2e36c4bd-121b-4987-9c64-e8de4c1692a1",2024-07-04T15:49:34Z,2024-07-04T15:50:06Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FU-67V"
"IFM VSE002","2f1a38ae-c9df-4d88-b5ad-2ef21e6e4419",2024-07-04T15:52:45Z,2024-07-04T15:53:41Z,"8901a580-8b7d-4cf0-9262-299d87e21186","VSE002"
"FM AC5000","3077ab8b-77a5-4996-a956-b57e470f6c70",2024-07-04T15:49:35Z,2024-07-04T15:50:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AC5000"
"BAUMER IFRM 12P1701/S14L","30b9eb10-2671-4a47-8d3c-a7809b5b2455",2024-07-04T15:45:39Z,2024-07-04T15:45:47Z,"8901a580-8b7d-4cf0-9262-299d87e21186","10214930"
"KLASCHKA HAD-11ms60b2,5-5S1","31034b8e-7890-40f9-9983-c2043b177d35",2024-07-04T15:53:50Z,2024-07-04T15:54:19Z,"8901a580-8b7d-4cf0-9262-299d87e21186","HAD-11ms60b2,5-5S1 132613"
"OMRON E3X-NA41","32759de7-393f-47b0-9e52-1293211cf9f5",2024-07-04T16:02:11Z,2024-07-04T16:02:25Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E3X-NA41"
"SCHMERSAL ZR 236-11Z-M20","32a4ba0d-9f06-4595-8ae8-6ef80a9ce524",2024-07-04T16:05:31Z,2024-07-04T16:13:01Z,"8901a580-8b7d-4cf0-9262-299d87e21186","(PS216-Z11-S200+PS-R200) 101153241"
"KLASCHKA HAD-11ms60b1-5SD7","3829304e-61f2-4ca5-bd9a-542e02b7c2b8",2024-07-04T15:54:04Z,2024-07-04T15:54:38Z,"8901a580-8b7d-4cf0-9262-299d87e21186","HAD-11ms60b1-5SD7 133205"
"AECO SI12SS-DCE8 NPN NO S","3930e6f2-a8eb-4107-9a11-33673fcfef75",2024-07-04T15:41:15Z,2024-07-04T15:41:26Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO I12000712"
"LEUZE ET28.3/4P-M12","3bb52eb2-3c96-4d95-a549-cbeacb9f252b",2024-07-04T15:57:24Z,2024-07-04T15:57:39Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50122596 LEUZE ET28.3/4P-M12"
"LEUZE KDU-M12-5A-V1-050","3d2baecc-8dd8-48af-a33c-4fe935bc5824",2024-07-04T15:58:29Z,2024-07-04T15:58:48Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50132079 LEUZE KDU-M12-5A-V1-050"
"KLASCHKA JSM18V4","3d87ce63-cc91-4313-8613-092c81152e5d",2024-07-04T15:57:00Z,2024-07-04T15:57:24Z,"8901a580-8b7d-4cf0-9262-299d87e21186","JSM18V4 139814"
"AECO SIA12-CE PNP NO H1 R","3eb799e3-7b60-49ff-8241-cb0b8ead271f",2024-07-04T15:41:46Z,2024-07-04T15:41:52Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO SIA000140"
"OMRON E2B-M18KS08-M1-B1","3f00c7c4-3d4a-4548-9a0c-24fde71b87e3",2024-07-04T16:01:45Z,2024-07-04T16:01:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E2B-M18KS08-M1-B1"
"SCHMERSAL AZ 15/16-B6","40cc6e36-18d6-4b01-8009-850fd5358220",2024-07-04T16:04:51Z,2024-07-04T16:05:08Z,"8901a580-8b7d-4cf0-9262-299d87e21186","101137434"
"OMRON S8VK-T12024","41deaff2-447d-4efd-b1ce-9ffc637520f2",2024-07-04T16:02:52Z,2024-07-04T16:03:12Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON S8VK-T12024"
"SCHMERSAL BPS 16","43d0d64f-4eee-4036-a725-bb21a828b39b",2024-07-04T16:04:53Z,2024-07-04T16:05:19Z,"8901a580-8b7d-4cf0-9262-299d87e21186","101172566"
"AECO SC30SP-CE25 PNP NO+NC","43f70dce-d38e-482e-8579-b614d09d4ad1",2024-07-04T15:40:40Z,2024-07-04T15:40:47Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO C30000045"
"FS-M1P","442a57e0-bf7c-49b5-9f22-db99298c74f2",2024-07-04T15:48:06Z,2024-07-04T15:49:15Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FS-M1P"
"NÖDİNG PDM80-2510-011","470fafe8-9b46-4b07-8f6d-7220f3400998",2024-07-04T16:00:50Z,2024-07-04T16:01:25Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG PDM80-2510-011"
"IFM IM5123","4911d198-6aed-40b0-8af4-1003c6eea1a5",2024-07-04T15:51:40Z,2024-07-04T15:52:21Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IM5123"
"PANASONIC EQ-34-PN-J","4a5165d3-dc7e-49dd-b59e-64e234693d8a",2024-07-04T16:04:03Z,2024-07-04T16:04:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EQ-34-PN-J"
"EUCHNER ES502E","4ba4e053-1460-4db7-8f87-1e4ee3cb3452",2024-07-04T15:47:07Z,2024-07-04T15:47:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 010387 EUCHNER ES502E"
"NÖDİNG P126-4B1-411","4c9bfb5f-7726-4f73-968c-d891b31a9b28",2024-07-04T16:00:38Z,2024-07-04T16:00:43Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P126-4B1-411"
"AECO SI12-DCE8 NPN NO","4d420377-f716-434e-90cf-e1a4ec0d5de2",2024-07-04T15:41:09Z,2024-07-04T15:41:15Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO I12000600"
"BALLUF BMF 003W","4fff4d7f-9807-4962-8389-e695a8fd327c",2024-07-04T15:44:46Z,2024-07-04T15:45:12Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BMF 303K-PS-C-2-PU-03"
"AECO SIP25-C5 NPN NO+NC","52e285c0-00ee-4cf2-81f4-64ffef5d66a4",2024-07-04T15:41:53Z,2024-07-04T15:42:00Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO SIP000069"
"NÖDİNG P121-4A9-F3K","54cc7bc3-baf8-4d54-9814-f540c5c9825c",2024-07-04T16:00:22Z,2024-07-04T16:00:31Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P121-4A9-F3K"
"PANASONIC RF-230","5580f77e-32ae-4c5b-9650-90de72a80bb7",2024-07-04T16:04:29Z,2024-07-04T16:04:51Z,"8901a580-8b7d-4cf0-9262-299d87e21186","RF-230"
"EUCHNER ES508E","5698c4e6-a04f-4d0d-a223-56827f82eb14",2024-07-04T15:47:04Z,2024-07-04T15:47:26Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 020397 EUCHNER  ES508E "
"ASCON K85-LCRR-D-E
","57230f0c-7d2a-4c03-abde-5b05bfefd14a",2024-07-04T15:42:48Z,2024-07-04T15:42:54Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ASCON K85-LCRR-D-E"
"NÖDİNG PDM80-2510-010","588218b9-5c14-4497-855a-a93f2e960398",2024-07-04T16:00:50Z,2024-07-04T16:01:10Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG PDM80-2510-010"
"NÖDİNG P131-4B0-V17","58d0cfdc-ca5b-48ab-a03d-32e3a2657dde",2024-07-04T16:00:40Z,2024-07-04T16:00:56Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P131-4B0-V17"
"OMRON E3FA-RP21","58ed608b-2289-4298-bb34-9a82138d3970",2024-07-04T16:02:09Z,2024-07-04T16:02:17Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E3FA-RP21"
"FS-V31P","598a6113-4214-4b40-b370-fb75aba50222",2024-07-04T15:49:31Z,2024-07-04T15:49:48Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FS-V31P"
"KLASCHKA IAD-12fg50n5-1NK2A","5c3d06fa-32e3-4040-aae7-6e3cfef6071c",2024-07-04T15:56:59Z,2024-07-04T15:57:18Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IAD-12fg50n5-1NK2A"
"EUCHNER ES510","5c87bc1f-5eaf-4d15-a809-c5d1bf09c100",2024-07-04T15:47:09Z,2024-07-04T15:48:16Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 010422 EUCHNER ES510 "
"OMRON E2A-M18KS08-M1-B1","5d87d9a5-17cf-4674-a4c2-a92853aca44c",2024-07-04T16:01:26Z,2024-07-04T16:01:37Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E2A-M18KS08-M1-B1"
"PANASONIC FX-MR2","5f64b7b5-8483-4cb7-93e2-90811f7be19f",2024-07-04T16:04:27Z,2024-07-04T16:04:41Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FX-MR2"
"OMRON MY4IN-24DC(S)","5f77568b-41c3-438d-b60b-fefa7e854db3",2024-07-04T16:02:51Z,2024-07-04T16:03:08Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON MY4IN-24DC(S)"
"IFM OGH 501","5f9e98a7-7841-4a04-b1ae-d43723b42691",2024-07-04T15:52:40Z,2024-07-04T15:53:17Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OGH 501"
"LEUZE PRK 3B/66","5fea98ab-6b77-43db-9a77-626d7ba1867c",2024-07-04T15:59:02Z,2024-07-04T15:59:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50104693 LEUZE PRK 3B/66"
"BALLUF BES02MC","6792808a-e3d1-4463-81d9-47b4af01ca47",2024-07-04T15:44:43Z,2024-07-04T15:44:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BES 113-356-SA6-S4"
"ELTRA ER38F200S5/30P10XXPR5","696c4679-2780-47c8-afda-b09a9f45298d",2024-07-04T15:46:52Z,2024-07-04T15:47:00Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA ER38F200S5/30P10XXPR5"
"IFM EVC002","6b917b3e-f0b5-4bb4-a4b6-49db6180d2e9",2024-07-04T15:50:14Z,2024-07-04T15:51:24Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EVC002"
"OMRON GRT1-OD4G-1","6dc5e950-6243-4a54-84d4-88522e877ae7",2024-07-04T16:02:34Z,2024-07-04T16:02:50Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON GRT1-OD4G-1"
"OMRON D4NL-1AFA-B","6f0a9814-36d6-4bff-96d8-d9ed4d77c12d",2024-07-04T16:01:25Z,2024-07-04T16:01:34Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON D4NL-1AFA-B"
"SMC ZSE40F-01-62L","72d306ea-137f-4555-8daf-1a4589b1f63c",2024-07-04T16:05:58Z,2024-07-04T16:06:16Z,"8901a580-8b7d-4cf0-9262-299d87e21186","SMC ZSE40F-01-62L"
"IFM OU5010","73b81d98-df85-4d0a-8a3c-d41354723b4f",2024-07-04T15:52:42Z,2024-07-04T15:53:26Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OU5010"
"IFM KB5062","73f3d803-bc62-4223-b20c-580c78d95c78",2024-07-04T15:52:36Z,2024-07-04T15:52:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","KB5062"
"EUCHNER CES-AP-C01-CH-SB-111708","7578561f-64ea-4712-ad7e-9e5717614fd8",2024-07-04T15:47:05Z,2024-07-04T15:47:39Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 111708 EUCHNER CES-AP-C01-CH-SB-111708"
"OMRON E3S-LS10XE4","75d06ce0-6303-4c10-ae3e-411a9fc31a1c",2024-07-04T16:02:10Z,2024-07-04T16:02:22Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E3S-LS10XE4"
"OMRON GRT1-ROS2","7611fa2b-ce68-46f8-8f9f-9c811b1d728c",2024-07-04T16:02:50Z,2024-07-04T16:03:04Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON GRT1-ROS2"
"ELTRA ER40A200S5/28P6X6PR5.774","785e6d8f-344d-401d-9e91-423823029a2c",2024-07-04T15:46:05Z,2024-07-04T15:46:23Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA  ER40A200S5/28P6X6PR5.774"
"IFM E30057","7ac77d95-aa5f-46f2-b984-9d63cedf5c70",2024-07-04T15:50:11Z,2024-07-04T15:51:09Z,"8901a580-8b7d-4cf0-9262-299d87e21186","E30057"
"IFM IIS234","7b09ced9-61a0-484d-b37b-5034e7e1ebf6",2024-07-04T15:51:38Z,2024-07-04T15:52:10Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IIS234"
"EUCHNER GSBF04R08-552-M","7bf3d251-ef67-4110-9724-73db39932f49",2024-07-04T15:48:01Z,2024-07-04T15:48:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 086565 EUCHNER GSBF04R08-552-M "
"KLASCHKA BDIF-m42rg-4s","7dca6fdc-057f-4dcd-9429-0f50e5a9b897",2024-07-04T15:53:50Z,2024-07-04T15:54:24Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BDIF-m42rg-4s 130561"
"ELTRA ER40A100S5/28P6X6PR5.774","7ecc14fc-8940-40a6-a851-f964720d982d",2024-07-04T15:46:03Z,2024-07-04T15:46:18Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA  ER40A100S5/28P6X6PR5.774"
"IFM DTE 100","80d97201-9574-481a-ab64-e0cd32159107",2024-07-04T15:50:08Z,2024-07-04T15:50:46Z,"8901a580-8b7d-4cf0-9262-299d87e21186","DTE 100"
"ELTRA 58D250S5/28P10X6CR.207","81f5e062-5450-45dd-bde4-f63e9785bba3",2024-07-04T15:46:06Z,2024-07-04T15:46:30Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA 58D250S5/28P10X6CR.207"
"LR-ZB100CN","83951c0a-3da8-4d00-a16c-401665e487f6",2024-07-04T15:59:03Z,2024-07-04T15:59:32Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LR-ZB100CN"
"LEUZE HRTR 25B/66-550F,200-S12","83fa2123-ff5f-4b66-9c82-d079196c8d54",2024-07-04T15:57:31Z,2024-07-04T15:57:57Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50116841 LEUZE HRTR 25B/66-550F,200-S12"
"LEUZE HRTR 3B/66-S8","8564bc4c-e42a-4e9d-9ef3-cfe0b831cb71",2024-07-04T15:57:59Z,2024-07-04T15:58:23Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50107229 LEUZE HRTR 3B/66-S8"
